population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,1,Global,1,Male,234,75+ years,393,Sexually transmitted infections excluding HIV,3,Rate,2011,0.00065320373,0.0012569355799999999,0.00030359764
1,All Population,6,Incidence,1,Global,2,Female,234,75+ years,393,Sexually transmitted infections excluding HIV,3,Rate,2011,0.00035485522,0.00051481342,0.00021453502999999998
1,All Population,6,Incidence,1,Global,1,Male,8,15-19 years,298,HIV/AIDS,3,Rate,2003,15.954274913950002,18.52850124414,13.56284043894
1,All Population,6,Incidence,1,Global,2,Female,8,15-19 years,298,HIV/AIDS,3,Rate,2003,75.54158030677,81.16924895589,69.96522421475
1,All Population,6,Incidence,1,Global,1,Male,9,20-24 years,298,HIV/AIDS,3,Rate,2003,44.46692806248,49.09876110844,39.92331441732
1,All Population,6,Incidence,1,Global,2,Female,9,20-24 years,298,HIV/AIDS,3,Rate,2003,83.4843231442,89.755878416,77.53594294917
1,All Population,6,Incidence,1,Global,1,Male,10,25-29 years,298,HIV/AIDS,3,Rate,2003,89.69506776783,97.04390874245,82.74945153438999
1,All Population,6,Incidence,1,Global,2,Female,10,25-29 years,298,HIV/AIDS,3,Rate,2003,104.95308587857001,112.15666252609999,98.28206867891
1,All Population,6,Incidence,1,Global,1,Male,11,30-34 years,298,HIV/AIDS,3,Rate,2003,83.3721780975,89.74098724668,77.20688513252999
1,All Population,6,Incidence,1,Global,2,Female,11,30-34 years,298,HIV/AIDS,3,Rate,2003,60.24574245054001,65.72342647158,55.86827296058001
1,All Population,6,Incidence,1,Global,1,Male,12,35-39 years,298,HIV/AIDS,3,Rate,2003,68.31819821084,75.84216948159,62.83691192542
1,All Population,6,Incidence,1,Global,2,Female,12,35-39 years,298,HIV/AIDS,3,Rate,2003,49.95900908141,54.94991500395,46.31998830556
1,All Population,6,Incidence,1,Global,1,Male,13,40-44 years,298,HIV/AIDS,3,Rate,2003,44.7656202319,50.33995077583,40.67119807673
1,All Population,6,Incidence,1,Global,2,Female,13,40-44 years,298,HIV/AIDS,3,Rate,2003,44.323675474329995,48.23272199541,40.40931563529
1,All Population,6,Incidence,1,Global,1,Male,39,0-14 years,298,HIV/AIDS,3,Rate,2003,32.85482029078,34.225746187510005,31.913408390040004
1,All Population,6,Incidence,1,Global,2,Female,39,0-14 years,298,HIV/AIDS,3,Rate,2003,33.81204616057,35.20084532014,32.79039579564
1,All Population,6,Incidence,1,Global,1,Male,41,50-74 years,298,HIV/AIDS,3,Rate,2003,22.20601541968,24.85049589721,19.66356111022
1,All Population,6,Incidence,1,Global,2,Female,41,50-74 years,298,HIV/AIDS,3,Rate,2003,19.5748821927,21.15177347394,17.96507399611
1,All Population,6,Incidence,1,Global,1,Male,234,75+ years,298,HIV/AIDS,3,Rate,2003,7.58407153794,9.225721633280001,6.2213199885599995
1,All Population,6,Incidence,1,Global,2,Female,234,75+ years,298,HIV/AIDS,3,Rate,2003,2.2946541115700003,2.69398485932,1.92044520296
